timestamp_utc,k,D,p,start_index,evaluations,iterations,elapsed_seconds,value,gradient_norm,plateau_value_range,plateau_gradient_max,reason,gamma,beta
2026-05-29T08:21:50Z,2,8,14,1,53,0,9849.738409,0.735341159979,1.819680e-04,Inf,Inf,best_seen,0.13447382960060966;0.264536702544389;0.2830323946103805;0.3017926427907987;0.309640950945868;0.3169120444864803;0.324158099606219;0.33388289995053727;0.347013706969871;0.3653436237877976;0.3882539249199974;0.4268842703305208;0.4798829650567584;0.5168777151536714,2.212431397784122;2.1012297224415213;2.0507746975336976;2.032613638146075;2.0079114292605396;1.9880140497484056;1.9634935764059644;1.9364870865358006;1.9039792985530748;1.8655406261730094;1.8208319485764584;1.774190321328817;1.7120995653977544;1.6389083362244432
2026-05-29T08:24:55Z,2,8,14,1,54,0,10034.992657,0.735341164777,1.547265e-04,Inf,Inf,best_seen,0.13445261933884803;0.2645315558287251;0.28303233792573185;0.3017885614452333;0.30964036353672886;0.3168888590678898;0.3241508380852127;0.33387784334143955;0.3469912560079954;0.3653336658680845;0.38824350282554776;0.42690640428789656;0.47991916582662114;0.5168849557518705,2.212447676510767;2.1012407183150854;2.050791790123007;2.032594774964184;2.007903530435897;1.9879926992245318;1.9634735849026657;1.9364961032782195;1.903940693510113;1.8655529351903166;1.8208329770438993;1.7741957795575425;1.7121236833089308;1.6389022276450669
2026-05-29T08:28:02Z,2,8,14,1,55,0,10221.912568,0.735341198427,1.106222e-04,Inf,Inf,best_seen,0.13444717312226517;0.2645471253296524;0.28301424810047615;0.30179869000849274;0.3096709821013041;0.3169287306663256;0.32417684564180355;0.33389767257370195;0.3470310289553998;0.3654012077686027;0.38825853947447136;0.42687916392641057;0.47986745392273505;0.5169121625064884,2.212458944190147;2.101200164076602;2.050774491384573;2.032598119466735;2.0079300471360653;1.988024217762584;1.9634804085544697;1.9364892808379652;1.9039628859840667;1.8655362619150586;1.820803045179144;1.774179197215865;1.7121387010741187;1.638900797855515
2026-05-29T08:31:07Z,2,8,14,1,56,0,10406.714890,0.735341228189,3.857215e-04,Inf,Inf,best_seen,0.13442538825593378;0.2646094033333616;0.2829418887994533;0.30183920426153044;0.30979345635960504;0.31708821706006857;0.32428087586816673;0.3339769895027515;0.34719012074501737;0.36567137537067523;0.3883186860701658;0.4267702024804667;0.47966060630719076;0.51702098952496,2.2125040149076685;2.1010379471226686;2.050705296430839;2.0326114974769376;2.0080361139367366;1.988150291914793;1.9635077031616863;1.9364619910769476;1.9040516558798808;1.8654695688140261;1.8206833177201225;1.7741128678491545;1.7121987721348706;1.6388950786973073
2026-05-29T08:34:13Z,2,8,14,1,57,0,10593.183163,0.735341236917,2.837643e-04,Inf,Inf,best_seen,0.1344324131011007;0.2645893208904993;0.28296522210241426;0.3018261398547852;0.3097539627639863;0.3170367883661654;0.3242473298173548;0.33395141261202316;0.3471388192969206;0.3655842559206491;0.3882992909306389;0.42680533867433995;0.4797273073119271;0.516985896679169,2.212489481203062;2.1010902563251905;2.0507276093442592;2.032607183544096;2.008001911163089;1.9881096374813276;1.9634989016208977;1.9364707910550092;1.9040230307433252;1.8654910749688645;1.8207219255705935;1.774134256712601;1.7121794013526783;1.6388969229225727
2026-05-29T08:37:19Z,2,8,14,1,58,0,10779.249911,0.735341284799,1.585579e-04,Inf,Inf,best_seen,0.13446352851851695;0.2644981249509041;0.2829343921600063;0.30184067397298425;0.3098102269626778;0.31712404760002677;0.32436361882935677;0.3339932786838505;0.3472397668924269;0.3657170331338081;0.3882955076566869;0.4267075825433316;0.4795966099468677;0.5170820008959977,2.2125715107925914;2.10100893822795;2.0506492164711685;2.032644940888326;2.008104583667629;1.9881775865864812;1.9634994741545113;1.9364845236770838;1.904082057354134;1.865531581347487;1.8206233603090936;1.774055319753076;1.7121886492508318;1.6388979643212858
2026-05-29T08:40:23Z,2,8,14,1,59,0,10962.678725,0.735341284811,1.554496e-04,Inf,Inf,best_seen,0.13446305233971742;0.2644995205797158;0.2829348639700023;0.30184045154823375;0.30980936591626373;0.3171227122170984;0.3243618391854783;0.333992637981026;0.34723822202789245;0.3657150011606188;0.3882955655545073;0.4267090785668779;0.47959861009083365;0.5170805301527328,2.212570255442199;2.1010101826899286;2.050650416166602;2.0326443630639437;2.008103012405727;1.9881765467185957;1.9634994653926694;1.9364843135181324;1.90408115403279;1.8655309614529028;1.8206248687152726;1.7740565277750067;1.7121885077244308;1.6388979483841064
2026-05-29T08:43:25Z,2,8,14,1,60,0,11144.843980,0.735341304265,7.731368e-05,Inf,Inf,best_seen,0.13444995570603743;0.26449149428717666;0.2828804106443282;0.3018261236605469;0.3098287336520444;0.3171551300416948;0.3243823509526111;0.33401356545503075;0.34725999645582084;0.3657356093673355;0.3882966957836595;0.4266703629332162;0.47959150394099503;0.5171295607935344,2.212585337243678;2.101002774387932;2.0506372250098304;2.0326676776824484;2.0081283036195345;1.9882018727878326;1.9634936398708422;1.9364967325290046;1.9040911968380307;1.865557770598138;1.8205773193496884;1.7740202294838443;1.7121487039572003;1.6389112187223394
2026-05-29T08:49:27Z,2,8,14,1,62,0,11506.792978,0.735341309382,7.576843e-05,1.077173324970e-05,3.189191e-03,best_seen,0.13443896906799024;0.26448476110877805;0.2828347302813995;0.301814104135542;0.3098449810563786;0.3171823250380442;0.32439955807367;0.33403112130852325;0.34727826281068563;0.3657528973906193;0.38829764392185356;0.426637884766368;0.4795855426613186;0.5171706921191003,2.2125979892195984;2.100996559635762;2.050626159077285;2.0326872360881407;2.0081495201717163;1.9882231185798935;1.9634887528974936;1.9365071507158984;1.9040996216492345;1.8655802605281653;1.820537430651431;1.773989779202003;1.7121153129657318;1.638922351079439
2026-05-29T08:52:36Z,2,8,14,1,63,0,11696.186842,0.735341322653,6.175645e-05,1.077685044271e-05,3.189191e-03,best_seen,0.13442449766603662;0.264463056643757;0.28281244574635894;0.3017954046783715;0.3098531850867108;0.31719609355323575;0.3243929136147824;0.33403989580905485;0.34727889364391107;0.3657620828979901;0.3883043426777426;0.42657519804713195;0.4795840272164502;0.517173354710029,2.212601668274439;2.1009886950755785;2.0506098034180713;2.032717042474774;2.0081862527706478;1.988262946604374;1.96351839972759;1.9365533799769339;1.9041102902881353;1.8655885302845325;1.8205217018732014;1.773943238541491;1.7121096240962808;1.6389168604047595
