# Composite best c̃ per (k,D,p) — F64 (below precision wall) + D64
# Generated 2026-04-15 10:10
k,D,p,ctilde,source,gamma,beta
3,4,11,0.872489725464,f64/origin/stephen-apr6-results/20260331T232833-k3-d4-p1-15-r2-i320-s1234,2.913902436208289;0.42384730354229827;0.46853060938900876;0.4902411736211872;0.501301678835071;0.5099246938085098;0.5207838758995139;0.5389070377212523;0.5807534136306586;0.6466647007449121;0.7452938948193429,1.9532272576086207;0.3131332999008824;0.29106416471663826;0.284049199448916;0.2798705291427288;0.27577447873682936;0.2692183744634846;0.25635919115475103;0.22915513474586718;0.18714113703886215;0.08952459826503815
3,4,12,0.876905340561,f64/origin/stephen-apr6-results/20260401T022556-k3-d4-p12-15-r2-i320-s1234,2.9202113660026523;0.41430414808686455;0.459242616507614;0.4807513603598664;0.49079477587815246;0.49761217756613896;0.5049298258552292;0.515871284852859;0.5349674889027348;0.579071494670125;0.64643063963662;0.7454889733818263,1.9517760168323073;0.3109612920742403;0.28881112450248664;0.2820310643546148;0.2784573522861036;0.2758127421396335;0.2720588387390439;0.2653687043508077;0.2517863553113087;0.22392782405756442;0.18137614452510142;0.08569070645455229
3,4,13,0.880732724898,f64/origin/stephen-apr6-results,2.9259240447541752;0.4063401256928396;0.4513417506583604;0.47274681062141793;0.48161656854148177;0.48674832574684057;0.49372631571338044;0.5014696778091581;0.511630003989789;0.5310145803831907;0.5782399718531627;0.6510096305686411;0.7529080023751171,1.9509369783464787;0.3091208329827633;0.2868451526519101;0.27977384718906523;0.2761445353676687;0.27466681388171077;0.27337828819697624;0.26917572429081366;0.2615467055727334;0.24748930718256765;0.2194996827237565;0.17667322880083194;0.08214330466175507
3,5,1,0.655445198972,f64/local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.628989454747739,2.8536248282575563
3,5,2,0.711560547762,f64/local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.5146841552202623;3.7701534857983696,2.7827614884116034;0.21005189805844404
3,5,3,0.745876655551,f64/local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.4612918537034756;3.6846184249663265;3.7684982222732835,2.76173569076017;0.2873656381552346;2.968208280791426
3,5,4,0.768844090898,f64/local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.4283617154390975;3.6322911614051923;3.694661556411525;3.770110002482808,2.7572508258653294;0.308892892818878;2.884743355584691;0.14969365392800738
3,5,5,0.785709743804,f64/local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.4059862404825934;3.6004896085863294;3.6444018394773763;3.697608527524607;3.771799684867735,2.7548626586750764;0.31574666923770267;2.8621089100507313;0.23734392124533069;3.0093169279106364
3,5,6,0.798643367187,f64/origin/stephen-apr6-results/20260331T232833-k3-d5-p1-15-r2-i320-s1234,3.389372495072318;3.5765460708951906;3.6152475974945557;3.646445822760669;3.6977270961680477;3.7735046520605096,2.7545199373462474;0.3178862561532487;2.852455648342566;0.26295230418914173;2.919824065698199;0.11903484178302115
3,5,7,0.808900424026,f64/origin/stephen-apr6-results/20260331T232833-k3-d5-p1-15-r2-i320-s1234,3.3763228496112285;3.5581801152434913;3.593878076047246;3.617912582992902;3.6448117715339166;3.697898454056021;3.7753185834314817,2.7549354539097775;0.3179462021640161;2.8493704188941975;0.2761955115183424;2.891249922284331;0.20876320751446942;3.0329269746556586
3,5,8,0.817250858892,f64/local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.3658699610593157;3.5433031409529847;3.577783235092751;3.5978973759461863;3.6157711444688183;3.6429580616259685;3.6990082929251487;3.7774960826370636,2.755809694562122;0.31684906022591014;2.8487919213190316;0.280709420322837;2.874901590305598;0.23980143106427895;2.9441956625225743;0.10012286325984832
3,5,9,0.824202504492,f64/local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.357344222103518;3.531106072446724;3.565023308735738;3.5832925893306258;3.596317948908716;3.6129835818362586;3.6422347972021867;3.7016269906466004;3.7806948213093836,2.7568790637639484;0.31531506984597457;2.84958351954048;0.28232096320957467;2.8691441671296514;0.25881845675799814;2.9113167951719294;0.18696085827721232;3.0489029048848355
3,5,10,0.830103713451,f64/local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.3503179586840197;3.5209618076569247;3.5546890754403893;3.5719668631366224;3.5824459589680235;3.593698817738697;3.611285009757414;3.6431401599784516;3.7062630108107317;3.7855753096575135,2.7579996585681648;0.31361688925600356;2.850918542403834;0.28223446527516705;2.8664805467160055;0.26563631014484446;2.8900921147713037;0.22107878844456413;2.9646871909362655;0.08593330526125327
