k,D,p,round,gamma
3,8,11,7,0.347742245481
3,8,11,8,0.375057604334
3,8,11,9,0.417435953619
3,8,11,10,0.467759387410
3,8,11,11,0.476478928384
3,8,12,1,2.980452454154
3,8,12,2,0.289779098749
3,8,12,3,0.308287198625
3,8,12,4,0.315801342538
3,8,12,5,0.324883751386
3,8,12,6,0.343796491083
3,8,12,7,0.344876578918
3,8,12,8,0.374219090012
3,8,12,9,0.417468601605
3,8,12,10,0.467197408922
3,8,12,11,0.475643894083
3,8,12,12,0.476326764795
3,8,13,1,2.980383053135
3,8,13,2,0.289777898380
3,8,13,3,0.308353874467
3,8,13,4,0.315788811022
3,8,13,5,0.324916306088
3,8,13,6,0.343791996083
3,8,13,7,0.344938231938
3,8,13,8,0.374221201300
3,8,13,9,0.417464310922
3,8,13,10,0.467245559913
3,8,13,11,0.475447748604
3,8,13,12,0.476401545259
3,8,13,13,0.476331259796
4,5,2,1,5.890000264084
4,5,2,2,5.653726008916
4,5,3,1,5.943506227187
4,5,3,2,5.735964660851
4,5,3,3,5.660318593762
4,5,4,1,5.975272798142
4,5,4,2,5.786202477512
4,5,4,3,5.732344024355
4,5,4,4,5.664444876349
4,5,5,1,5.996607192627
4,5,5,2,5.815637515833
4,5,5,3,5.778716467296
4,5,5,4,5.735924770353
4,5,5,5,5.667838321194
4,5,6,1,0.271171554491
4,5,6,2,0.445929492433
4,5,6,3,0.477963850333
4,5,6,4,0.501533613682
4,5,6,5,0.541889537214
4,5,6,6,0.613510299150
4,5,7,1,0.259218583429
4,5,7,2,0.429365989253
4,5,7,3,0.458986481021
4,5,7,4,0.475299872809
4,5,7,5,0.495299867338
4,5,7,6,0.537653682703
4,5,7,7,0.612759508282
4,5,8,1,0.249634279568
4,5,8,2,0.416000538262
4,5,8,3,0.444558255583
4,5,8,4,0.457450957657
4,5,8,5,0.467938056105
4,5,8,6,0.489428325671
4,5,8,7,0.534705382820
4,5,8,8,0.612575476620
4,5,9,1,6.041355207717
4,5,9,2,5.878241486498
4,5,9,3,5.850219206141
4,5,9,4,5.839215097887
4,5,9,5,5.832926955657
4,5,9,6,5.822791509332
4,5,9,7,5.798380474102
4,5,9,8,5.750236474207
4,5,9,9,5.670238889792
4,5,10,1,6.047812128731
4,5,10,2,5.888510955419
4,5,10,3,5.859613720800
4,5,10,4,5.849453228837
4,5,10,5,5.844710276033
4,5,10,6,5.839036523006
4,5,10,7,5.831204616353
4,5,10,8,5.802110914718
4,5,10,9,5.745187552831
4,5,10,10,5.659561629457
4,5,11,1,0.233421353660
4,5,11,2,0.396722573857
4,5,11,3,0.425227357938
4,5,11,4,0.433025977246
4,5,11,5,0.436261627190
4,5,11,6,0.437222441797
4,5,11,7,0.445430255393
4,5,11,8,0.471794653529
4,5,11,9,0.515532095807
4,5,11,10,0.569926403140
4,5,11,11,0.647409437055
4,5,12,1,0.234808493315
4,5,12,2,0.396842046758
4,5,12,3,0.424917224833
4,5,12,4,0.431608461936
4,5,12,5,0.438700037958
4,5,12,6,0.438524481987
4,5,12,7,0.440793544452
4,5,12,8,0.475674770392
4,5,12,9,0.510179543453
4,5,12,10,0.572662699359
4,5,12,11,0.643438304208
4,5,12,12,0.647346520083
4,5,13,1,0.234808493315
4,5,13,2,0.396842046758
4,5,13,3,0.424917224833
4,5,13,4,0.431608461936
4,5,13,5,0.438700037958
4,5,13,6,0.438524481987
4,5,13,7,0.440793544452
4,5,13,8,0.475674770392
4,5,13,9,0.510179543453
