k,D,p,round,beta
3,7,12,2,0.498630554790
3,7,12,3,2.617842295707
3,7,12,4,2.950722031355
3,7,12,5,0.287575359747
3,7,12,6,0.281881791111
3,7,12,7,0.267977191661
3,7,12,8,0.249466161089
3,7,12,9,0.213930242982
3,7,12,10,0.151666962299
3,7,12,11,0.073673512305
3,7,12,12,0.061487893867
3,7,13,1,0.864038633413
3,7,13,2,0.498630554790
3,7,13,3,2.617842295707
3,7,13,4,2.950722031355
3,7,13,5,0.287575359747
3,7,13,6,0.281881791111
3,7,13,7,0.267977191661
3,7,13,8,0.249466161089
3,7,13,9,0.213930242982
3,7,13,10,0.151666962299
3,7,13,11,0.073673512305
3,7,13,12,0.061487893867
3,7,13,13,0.061487893867
3,8,2,1,0.352868605665
3,8,2,2,0.208505176168
3,8,3,1,1.945518769825
3,8,3,2,0.277525925562
3,8,3,3,0.170680469355
3,8,4,1,1.951337159439
3,8,4,2,0.300682386766
3,8,4,3,0.245040390056
3,8,4,4,0.146171684216
3,8,5,1,1.954601663523
3,8,5,2,0.309288613548
3,8,5,3,0.270401956702
3,8,5,4,0.224435355187
3,8,5,5,0.128536463737
3,8,6,1,1.955707627797
3,8,6,2,0.312516194774
3,8,6,3,0.281250221582
3,8,6,4,0.253250018668
3,8,6,5,0.208160159994
3,8,6,6,0.115033811670
3,8,7,1,1.955841888058
3,8,7,2,0.313512165097
3,8,7,3,0.285764913116
3,8,7,4,0.266886389901
3,8,7,5,0.239937555684
3,8,7,6,0.194539865514
3,8,7,7,0.104358598115
3,8,8,1,1.955447109963
3,8,8,2,0.313220927428
3,8,8,3,0.287406523698
3,8,8,4,0.273416647979
3,8,8,5,0.255913818224
3,8,8,6,0.228672312222
3,8,8,7,0.182735311821
3,8,8,8,0.095620279466
3,8,9,1,1.954662652509
3,8,9,2,0.312136738702
3,8,9,3,0.287498251063
3,8,9,4,0.276165198021
3,8,9,5,0.264253349239
3,8,9,6,0.246683102811
3,8,9,7,0.218616100579
3,8,9,8,0.172270762216
3,8,9,9,0.088255467973
3,8,10,1,1.953343041047
3,8,10,2,0.312348346245
3,8,10,3,0.287335562080
3,8,10,4,0.277743929930
3,8,10,5,0.269296907557
3,8,10,6,0.258490112879
3,8,10,7,0.238862229582
3,8,10,8,0.210665447349
3,8,10,9,0.164673338686
3,8,10,10,0.082627519475
3,8,11,1,1.954596476975
3,8,11,2,0.311775538100
3,8,11,3,0.284459279132
3,8,11,4,0.270364901000
3,8,11,5,0.270594245222
3,8,11,6,0.258295857878
3,8,11,7,0.236985081330
3,8,11,8,0.210803024216
3,8,11,9,0.170352211507
3,8,11,10,0.111714888033
3,8,11,11,0.050482806813
3,8,12,1,1.954016675436
3,8,12,2,0.311996777877
3,8,12,3,0.284119280037
3,8,12,4,0.269624206418
3,8,12,5,0.269826552834
3,8,12,6,0.257663524594
3,8,12,7,0.236448914183
3,8,12,8,0.209995679282
3,8,12,9,0.169989607051
3,8,12,10,0.111664382888
3,8,12,11,0.050879381892
3,8,12,12,0.050080462961
3,8,13,1,1.954054133774
3,8,13,2,0.312028089642
3,8,13,3,0.284151596366
3,8,13,4,0.269576430010
3,8,13,5,0.269837790335
3,8,13,6,0.257670062777
3,8,13,7,0.236476352415
3,8,13,8,0.209984433267
3,8,13,9,0.169984303291
3,8,13,10,0.111657525459
3,8,13,11,0.050875908482
3,8,13,12,0.050081439857
3,8,13,13,0.050074935727
4,5,2,1,1.292897410313
4,5,2,2,1.398147655498
4,5,3,1,1.284172994821
4,5,3,2,1.343932279763
4,5,3,3,1.425405450306
4,5,4,1,1.285309725215
4,5,4,2,1.334626962655
4,5,4,3,1.362832090991
4,5,4,4,1.443180690143
4,5,5,1,1.287144571171
4,5,5,2,1.333992892026
4,5,5,3,1.352061722254
4,5,5,4,1.374923204398
4,5,5,5,1.456460560071
4,5,6,1,1.852141506548
4,5,6,2,0.234798402165
4,5,6,3,0.221645856300
4,5,6,4,0.209186125585
4,5,6,5,0.185992875950
4,5,6,6,0.103863469696
4,5,7,1,1.849733740613
4,5,7,2,0.232224211434
4,5,7,3,0.220510024123
4,5,7,4,0.214720549641
4,5,7,5,0.202167291444
4,5,7,6,0.177429258933
4,5,7,7,0.095481545076
4,5,8,1,1.847400475733
4,5,8,2,0.229398622086
4,5,8,3,0.218451393669
4,5,8,4,0.214697789453
4,5,8,5,0.210083455548
4,5,8,6,0.196302345991
4,5,8,7,0.169805714529
4,5,8,8,0.088631354817
4,5,9,1,1.296388718716
4,5,9,2,1.344189262523
4,5,9,3,1.354902595057
4,5,9,4,1.357563960689
4,5,9,5,1.359682109591
4,5,9,6,1.364408600456
4,5,9,7,1.379728434455
4,5,9,8,1.407920388002
4,5,9,9,1.487940152541
4,5,10,1,1.298540651234
4,5,10,2,1.347246650870
4,5,10,3,1.357567992251
4,5,10,4,1.359185326056
4,5,10,5,1.360027838053
4,5,10,6,1.362910236492
4,5,10,7,1.369205589694
4,5,10,8,1.385366173152
4,5,10,9,1.414827080042
4,5,10,10,1.494225543338
4,5,11,1,1.844434892652
4,5,11,2,0.225217563703
4,5,11,3,0.215287242872
4,5,11,4,0.213564898987
